# img_id	mask_row	mask_col	metastasis_ratio	ucc
tumor_022__113.png	2336	736	0.00	1
tumor_022__110.png	2304	928	0.00	1
tumor_022__24.png	1824	864	0.00	1
tumor_022__6.png	1696	832	0.53	2
tumor_022__5.png	1696	800	0.46	2
tumor_023__35.png	1984	768	0.00	1
tumor_024__170.png	1728	960	0.00	1
tumor_024__407.png	2016	672	0.00	1
tumor_024__269.png	1856	640	0.00	1
tumor_024__268.png	1856	608	0.00	1
tumor_024__179.png	1728	1248	0.00	1
tumor_024__244.png	1824	704	0.00	1
tumor_024__37.png	1472	928	0.00	1
tumor_027__115.png	1184	576	0.00	1
tumor_027__39.png	1024	576	0.00	1
tumor_027__168.png	1280	640	0.00	1
tumor_027__238.png	1408	832	0.00	1
tumor_027__35.png	1024	448	0.00	1
tumor_032__367.png	2176	928	0.00	1
tumor_032__345.png	1856	1248	0.00	1
tumor_032__21.png	1376	448	0.00	1
tumor_032__302.png	1792	416	0.00	1
tumor_032__80.png	1440	1280	0.00	1
tumor_032__143.png	1536	1056	0.00	1
tumor_032__129.png	1536	480	0.00	1
tumor_033__32.png	1184	1120	1.00	1
tumor_033__81.png	1408	992	0.00	1
tumor_033__130.png	1792	736	0.00	1
tumor_033__136.png	1824	448	0.00	1
tumor_033__33.png	1184	1152	0.55	2
tumor_033__140.png	1824	576	0.63	2
tumor_033__145.png	1856	288	0.69	2
tumor_033__42.png	1216	1088	0.57	2
tumor_033__128.png	1792	672	0.52	2
tumor_033__4.png	1056	1280	0.37	2
tumor_033__43.png	1216	1120	0.46	2
tumor_033__152.png	1856	544	0.65	2
tumor_033__21.png	1152	1152	0.46	2
tumor_033__19.png	1152	1088	0.44	2
tumor_033__166.png	1888	672	0.54	2
tumor_033__30.png	1184	1056	0.61	2
tumor_033__163.png	1888	576	0.54	2
tumor_033__9.png	1088	1280	0.53	2
tumor_033__153.png	1856	576	0.56	2
tumor_033__162.png	1888	544	0.47	2
tumor_033__127.png	1792	640	0.30	2
tumor_033__20.png	1152	1120	0.51	2
tumor_033__155.png	1856	640	0.35	2
tumor_035__22.png	1312	576	0.00	1
tumor_035__70.png	1632	576	0.00	1
tumor_036__318.png	2496	512	0.00	1
tumor_036__144.png	1472	1120	0.00	1
tumor_036__333.png	2528	608	0.00	1
tumor_036__347.png	2592	480	0.00	1
tumor_036__337.png	2560	416	0.00	1
tumor_036__168.png	1504	1376	0.40	2
tumor_036__75.png	1280	1152	0.51	2
tumor_036__88.png	1312	1152	0.57	2
tumor_036__74.png	1280	1120	0.49	2
tumor_036__87.png	1312	1120	0.46	2
tumor_036__259.png	2048	352	0.43	2
tumor_036__306.png	2464	416	0.34	2
tumor_036__128.png	1440	736	0.33	2
tumor_036__117.png	1408	960	0.64	2
tumor_036__96.png	1344	960	0.43	2
tumor_036__106.png	1376	928	0.36	2
tumor_036__300.png	2432	448	0.48	2
tumor_036__118.png	1408	992	0.52	2
tumor_036__316.png	2496	448	0.45	2
tumor_037__11.png	1536	1152	0.00	1
tumor_037__91.png	1792	480	0.00	1
tumor_037__219.png	1952	512	0.00	1
tumor_037__245.png	1984	608	0.00	1
tumor_037__101.png	1792	896	0.67	2
tumor_037__16.png	1568	1056	0.52	2
tumor_037__80.png	1760	864	0.41	2
tumor_037__8.png	1536	1056	0.34	2
tumor_038__5.png	2112	480	0.00	1
tumor_038__12.png	2464	768	0.33	2
tumor_038__1.png	2080	448	0.52	2
tumor_040__14.png	1856	992	0.00	1
tumor_040__23.png	1856	1312	0.00	1
tumor_042__18.png	2432	448	1.00	1
tumor_042__9.png	2240	352	0.00	1
tumor_042__15.png	2336	416	0.62	2
tumor_044__157.png	2656	1184	1.00	1
tumor_044__195.png	2752	1248	1.00	1
tumor_044__142.png	2624	992	1.00	1
tumor_044__180.png	2720	1216	1.00	1
tumor_044__184.png	2752	896	1.00	1
tumor_044__188.png	2752	1024	1.00	1
tumor_044__97.png	2336	768	1.00	1
tumor_044__168.png	2688	1184	1.00	1
tumor_044__189.png	2752	1056	1.00	1
tumor_044__163.png	2688	864	1.00	1
tumor_044__182.png	2752	832	1.00	1
tumor_044__105.png	2368	736	1.00	1
tumor_044__140.png	2624	800	1.00	1
tumor_044__204.png	2784	1120	1.00	1
tumor_044__192.png	2752	1152	1.00	1
tumor_044__111.png	2400	704	1.00	1
tumor_044__169.png	2688	1216	1.00	1
tumor_044__57.png	2208	992	1.00	1
tumor_044__206.png	2784	1184	1.00	1
tumor_044__149.png	2656	800	1.00	1
tumor_044__197.png	2784	896	1.00	1
tumor_044__147.png	2656	736	1.00	1
tumor_044__193.png	2752	1184	1.00	1
tumor_044__160.png	2688	768	1.00	1
tumor_044__126.png	2560	1152	1.00	1
tumor_044__154.png	2656	992	1.00	1
tumor_044__196.png	2784	864	1.00	1
tumor_044__179.png	2720	1184	1.00	1
tumor_044__199.png	2784	960	1.00	1
tumor_044__106.png	2368	768	1.00	1
tumor_044__130.png	2592	800	1.00	1
tumor_044__172.png	2720	864	1.00	1
tumor_044__164.png	2688	896	1.00	1
tumor_044__39.png	2048	320	0.00	1
tumor_044__9.png	1856	928	0.00	1
tumor_044__99.png	2368	544	0.50	2
tumor_044__124.png	2560	800	0.67	2
tumor_044__44.png	2112	992	0.62	2
tumor_044__115.png	2432	768	0.35	2
tumor_044__132.png	2592	896	0.54	2
tumor_044__102.png	2368	640	0.49	2
tumor_044__84.png	2304	672	0.45	2
tumor_044__131.png	2592	864	0.64	2
tumor_044__120.png	2496	768	0.46	2
tumor_045__225.png	2624	864	0.00	1
tumor_045__103.png	1408	768	0.00	1
tumor_045__232.png	2880	896	0.00	1
tumor_045__83.png	1344	960	0.00	1
tumor_046__113.png	1472	704	1.00	1
tumor_046__70.png	1184	864	1.00	1
tumor_046__57.png	1152	288	1.00	1
tumor_046__35.png	1024	864	1.00	1
tumor_046__19.png	992	544	1.00	1
tumor_046__109.png	1440	800	1.00	1
tumor_046__9.png	960	608	1.00	1
tumor_046__85.png	1248	864	1.00	1
tumor_046__22.png	992	736	1.00	1
tumor_046__40.png	1056	800	1.00	1
tumor_046__30.png	1024	544	1.00	1
tumor_046__45.png	1088	704	1.00	1
tumor_046__64.png	1184	352	1.00	1
tumor_046__20.png	992	576	1.00	1
tumor_046__10.png	960	640	1.00	1
tumor_046__87.png	1248	928	1.00	1
tumor_046__110.png	1440	832	1.00	1
tumor_046__116.png	1472	800	1.00	1
tumor_046__93.png	1280	896	1.00	1
tumor_046__46.png	1088	768	1.00	1
tumor_046__137.png	2368	864	0.00	1
tumor_046__36.png	1056	224	0.00	1
tumor_046__48.png	1120	224	0.38	2
tumor_046__28.png	1024	480	0.46	2
tumor_046__104.png	1408	800	0.66	2
tumor_046__60.png	1152	384	0.64	2
tumor_046__82.png	1248	768	0.33	2
tumor_046__83.png	1248	800	0.65	2
tumor_046__74.png	1216	736	0.63	2
tumor_048__10.png	1824	1024	0.00	1
tumor_048__21.png	1984	736	0.00	1
tumor_048__38.png	2368	736	0.31	2
tumor_049__25.png	2016	320	0.00	1
tumor_050__134.png	2368	672	0.00	1
tumor_050__130.png	2368	544	0.00	1
tumor_050__17.png	1472	1056	0.00	1
tumor_050__53.png	2176	1056	0.68	2
tumor_051__156.png	1920	576	1.00	1
tumor_051__135.png	1888	544	1.00	1
tumor_051__75.png	1504	320	0.00	1
tumor_051__245.png	2048	672	0.00	1
tumor_051__100.png	1600	352	0.00	1
tumor_051__206.png	1984	704	0.00	1
tumor_051__270.png	2112	704	0.00	1
tumor_051__178.png	1952	608	0.41	2
tumor_051__177.png	1952	576	0.68	2
tumor_051__223.png	2016	480	0.39	2
tumor_051__157.png	1920	608	0.58	2
tumor_051__158.png	1920	640	0.44	2
tumor_051__242.png	2048	576	0.33	2
tumor_051__225.png	2016	544	0.64	2
tumor_052__300.png	1504	640	1.00	1
tumor_052__135.png	1152	1216	0.00	1
tumor_052__366.png	1760	704	0.00	1
tumor_052__279.png	1472	384	0.00	1
tumor_052__330.png	1600	1088	0.00	1
tumor_052__76.png	1056	512	0.00	1
tumor_052__293.png	1504	416	0.00	1
tumor_052__272.png	1440	704	0.55	2
tumor_052__196.png	1248	1312	0.48	2
tumor_052__179.png	1216	1312	0.62	2
tumor_052__210.png	1280	1312	0.44	2
tumor_054__16.png	1088	800	1.00	1
tumor_054__68.png	1600	960	1.00	1
tumor_054__76.png	1696	256	1.00	1
tumor_054__57.png	1536	896	1.00	1
tumor_054__90.png	1792	352	1.00	1
tumor_054__67.png	1600	928	1.00	1
tumor_054__75.png	1664	992	1.00	1
tumor_054__7.png	1056	544	1.00	1
tumor_054__91.png	1824	256	1.00	1
tumor_054__72.png	1632	960	1.00	1
tumor_054__19.png	1120	576	1.00	1
tumor_054__97.png	1856	352	1.00	1
tumor_054__60.png	1568	864	1.00	1
tumor_054__94.png	1824	352	1.00	1
tumor_054__14.png	1088	672	1.00	1
tumor_054__4.png	1024	608	1.00	1
tumor_054__26.png	1152	608	1.00	1
tumor_054__89.png	1792	320	1.00	1
tumor_054__53.png	1504	992	1.00	1
tumor_054__30.png	1184	576	1.00	1
tumor_054__32.png	1184	640	1.00	1
tumor_054__79.png	1696	1024	1.00	1
tumor_054__77.png	1696	960	1.00	1
tumor_054__46.png	1440	992	1.00	1
tumor_054__49.png	1504	864	1.00	1
tumor_054__10.png	1056	768	1.00	1
tumor_054__51.png	1504	928	1.00	1
tumor_054__48.png	1472	992	1.00	1
tumor_054__17.png	1088	832	1.00	1
tumor_054__84.png	1760	288	1.00	1
tumor_054__33.png	1184	672	1.00	1
tumor_054__43.png	1408	992	1.00	1
tumor_054__122.png	2784	1056	0.00	1
tumor_055__177.png	2752	1024	1.00	1
tumor_055__169.png	2720	1024	1.00	1
tumor_055__182.png	2784	928	1.00	1
tumor_055__170.png	2720	1056	1.00	1
tumor_055__175.png	2752	896	1.00	1
tumor_055__81.png	2336	512	0.00	1
tumor_055__50.png	2144	1088	0.40	2
tumor_055__63.png	2176	1056	0.38	2
tumor_055__160.png	2688	1088	0.61	2
tumor_055__165.png	2720	864	0.64	2
tumor_055__153.png	2688	864	0.59	2
tumor_055__141.png	2656	928	0.65	2
tumor_055__154.png	2688	896	0.46	2
tumor_055__47.png	2144	992	0.62	2
tumor_056__25.png	1952	1248	0.00	1
tumor_056__38.png	2240	544	0.00	1
tumor_056__7.png	1344	896	0.68	2
tumor_056__1.png	1312	896	0.57	2
tumor_057__24.png	2496	320	0.00	1
tumor_062__43.png	1824	1344	1.00	1
tumor_062__33.png	1792	1344	1.00	1
tumor_062__165.png	2048	1088	0.00	1
tumor_062__100.png	1952	992	0.00	1
tumor_062__242.png	2304	320	0.00	1
tumor_062__206.png	2176	128	0.00	1
tumor_062__34.png	1792	1376	0.61	2
tumor_062__44.png	1824	1376	0.47	2
tumor_062__15.png	1728	1344	0.35	2
tumor_062__23.png	1760	1312	0.58	2
tumor_068__200.png	2848	640	1.00	1
tumor_068__207.png	2880	608	1.00	1
tumor_068__162.png	2752	672	1.00	1
tumor_068__188.png	2816	608	1.00	1
tumor_068__161.png	2752	640	1.00	1
tumor_068__176.png	2784	640	1.00	1
tumor_068__116.png	2560	1120	0.00	1
tumor_068__66.png	2016	928	0.00	1
tumor_068__25.png	1920	864	0.00	1
tumor_068__210.png	2880	960	0.33	2
tumor_068__62.png	2016	576	0.33	2
tumor_068__219.png	2944	704	0.43	2
tumor_068__49.png	1984	608	0.33	2
tumor_068__217.png	2912	896	0.43	2
tumor_068__206.png	2880	576	0.63	2
tumor_069__9.png	1024	992	0.00	1
tumor_069__46.png	1504	1056	0.59	2
tumor_070__20.png	2400	224	0.00	1
tumor_070__27.png	2432	288	0.00	1
tumor_072__156.png	704	224	1.00	1
tumor_072__143.png	672	224	1.00	1
tumor_072__168.png	736	192	1.00	1
tumor_072__48.png	416	320	0.00	1
tumor_072__53.png	416	1376	0.00	1
tumor_072__29.png	320	320	0.00	1
tumor_072__39.png	384	288	0.00	1
tumor_072__180.png	736	1440	0.56	2
tumor_072__158.png	704	288	0.69	2
tumor_072__181.png	768	192	0.57	2
tumor_072__176.png	736	1312	0.42	2
tumor_072__171.png	736	288	0.65	2
tumor_072__197.png	800	1344	0.69	2
tumor_073__6.png	896	416	0.00	1
tumor_073__14.png	928	704	0.32	2
tumor_073__13.png	928	672	0.40	2
tumor_075__18.png	576	256	0.00	1
tumor_077__283.png	1024	480	0.00	1
tumor_077__179.png	736	1856	0.00	1
tumor_077__70.png	448	352	0.00	1
tumor_077__261.png	896	768	0.00	1
tumor_077__145.png	672	256	0.00	1
tumor_078__172.png	800	416	1.00	1
tumor_078__178.png	800	1024	1.00	1
tumor_078__283.png	1024	576	1.00	1
tumor_078__324.png	1152	512	1.00	1
tumor_078__270.png	992	576	1.00	1
tumor_078__308.png	1088	576	1.00	1
tumor_078__326.png	1152	576	1.00	1
tumor_078__309.png	1088	608	1.00	1
tumor_078__170.png	800	352	1.00	1
tumor_078__296.png	1056	576	1.00	1
tumor_078__317.png	1120	512	1.00	1
tumor_078__333.png	1184	576	1.00	1
tumor_078__295.png	1056	544	1.00	1
tumor_078__199.png	864	288	1.00	1
tumor_078__340.png	1216	608	1.00	1
tumor_078__177.png	800	992	1.00	1
tumor_078__313.png	1088	960	0.00	1
tumor_078__8.png	224	576	0.00	1
tumor_078__47.png	384	576	0.00	1
tumor_078__43.png	384	448	0.00	1
tumor_078__174.png	800	480	0.40	2
tumor_078__222.png	896	512	0.67	2
tumor_078__176.png	800	960	0.60	2
tumor_078__238.png	928	512	0.31	2
tumor_078__248.png	960	320	0.57	2
tumor_078__148.png	704	1152	0.40	2
tumor_078__151.png	736	992	0.44	2
tumor_078__165.png	768	1088	0.39	2
tumor_078__204.png	864	448	0.37	2
tumor_078__255.png	960	544	0.36	2
tumor_078__48.png	384	608	0.38	2
tumor_078__329.png	1184	448	0.51	2
tumor_078__154.png	736	1088	0.33	2
tumor_078__193.png	832	960	0.51	2
tumor_078__239.png	928	544	0.53	2
tumor_078__145.png	704	1056	0.32	2
tumor_078__293.png	1056	480	0.49	2
tumor_078__210.png	864	992	0.64	2
tumor_078__221.png	896	480	0.50	2
tumor_078__131.png	672	384	0.61	2
tumor_078__188.png	832	416	0.60	2
tumor_078__180.png	800	1088	0.64	2
tumor_078__207.png	864	544	0.53	2
tumor_078__240.png	928	576	0.40	2
tumor_078__212.png	864	1056	0.63	2
tumor_078__322.png	1152	448	0.35	2
tumor_078__40.png	352	608	0.42	2
tumor_078__146.png	704	1088	0.35	2
tumor_078__197.png	832	1088	0.49	2
tumor_078__147.png	704	1120	0.53	2
tumor_078__310.png	1088	640	0.53	2
tumor_078__26.png	288	672	0.34	2
tumor_078__224.png	896	576	0.33	2
tumor_078__266.png	992	448	0.43	2
tumor_078__233.png	928	352	0.50	2
tumor_078__316.png	1120	480	0.62	2
tumor_078__191.png	832	512	0.31	2
tumor_078__144.png	704	1024	0.33	2
tumor_078__183.png	832	256	0.65	2
tumor_079__2.png	416	1984	0.00	1
tumor_080__69.png	992	1376	0.00	1
tumor_081__23.png	288	512	0.00	1
tumor_082__1.png	512	960	0.53	2
tumor_082__2.png	544	896	0.52	2
tumor_084__116.png	960	384	0.00	1
tumor_084__80.png	800	288	0.33	2
tumor_084__74.png	768	352	0.62	2
tumor_084__73.png	768	320	0.65	2
tumor_084__12.png	160	736	0.39	2
tumor_084__19.png	192	736	0.66	2
tumor_084__99.png	864	320	0.37	2
tumor_084__91.png	832	352	0.66	2
tumor_085__83.png	608	544	1.00	1
tumor_085__50.png	512	512	1.00	1
tumor_085__63.png	544	480	1.00	1
tumor_085__64.png	544	512	1.00	1
tumor_085__115.png	704	1024	1.00	1
tumor_085__37.png	480	608	1.00	1
tumor_085__62.png	544	448	1.00	1
tumor_085__73.png	576	480	1.00	1
tumor_085__19.png	416	576	1.00	1
tumor_085__105.png	672	1024	1.00	1
tumor_085__52.png	512	576	1.00	1
tumor_085__135.png	768	928	1.00	1
tumor_085__26.png	448	576	1.00	1
tumor_085__90.png	640	384	0.00	1
tumor_085__124.png	736	896	0.31	2
tumor_085__10.png	384	480	0.64	2
tumor_085__15.png	416	448	0.45	2
tumor_085__106.png	672	1056	0.59	2
tumor_085__112.png	704	928	0.46	2
tumor_085__38.png	480	640	0.37	2
tumor_085__134.png	768	896	0.58	2
tumor_085__96.png	640	1056	0.37	2
tumor_085__116.png	704	1056	0.68	2
tumor_085__61.png	544	416	0.70	2
tumor_085__104.png	672	992	0.70	2
tumor_085__54.png	512	640	0.35	2
tumor_085__94.png	640	992	0.41	2
tumor_085__81.png	608	480	0.33	2
tumor_085__123.png	736	512	0.50	2
tumor_087__1.png	128	384	0.00	1
tumor_090__71.png	480	480	1.00	1
tumor_090__72.png	480	512	1.00	1
tumor_090__93.png	544	576	1.00	1
tumor_090__52.png	416	544	1.00	1
tumor_090__102.png	576	544	1.00	1
tumor_090__41.png	384	608	1.00	1
tumor_090__83.png	512	576	1.00	1
tumor_090__105.png	608	480	0.00	1
tumor_090__45.png	416	320	0.00	1
tumor_090__101.png	576	512	0.53	2
tumor_090__12.png	320	608	0.69	2
tumor_090__108.png	608	576	0.56	2
tumor_090__91.png	544	480	0.46	2
tumor_090__11.png	320	576	0.52	2
tumor_093__140.png	512	832	0.00	1
tumor_093__126.png	448	800	0.00	1
tumor_093__55.png	288	352	0.00	1
tumor_094__11.png	416	1248	1.00	1
tumor_094__47.png	928	704	0.00	1
tumor_095__104.png	992	896	1.00	1
tumor_095__106.png	1024	864	1.00	1
tumor_095__3.png	224	320	0.00	1
tumor_095__6.png	256	352	0.00	1
tumor_095__96.png	928	832	0.60	2
tumor_095__92.png	864	896	0.43	2
tumor_095__91.png	864	864	0.67	2
tumor_095__107.png	1056	800	0.43	2
tumor_096__46.png	416	768	0.00	1
tumor_096__21.png	224	608	0.64	2
tumor_096__12.png	160	640	0.57	2
tumor_097__17.png	192	1376	0.00	1
tumor_097__58.png	256	1376	0.00	1
tumor_098__3.png	832	320	0.00	1
tumor_099__2.png	160	736	0.00	1
tumor_100__107.png	640	1120	0.00	1
tumor_100__150.png	800	960	0.00	1
tumor_100__159.png	832	928	0.00	1
tumor_100__13.png	320	1344	0.00	1
tumor_100__89.png	608	896	0.36	2
tumor_100__80.png	576	928	0.33	2
tumor_100__79.png	576	896	0.59	2
tumor_101__27.png	256	416	1.00	1
tumor_101__26.png	256	384	1.00	1
tumor_101__59.png	320	640	1.00	1
tumor_101__83.png	608	1472	0.00	1
tumor_101__6.png	224	320	0.37	2
tumor_101__58.png	320	608	0.56	2
tumor_101__36.png	256	1600	0.43	2
tumor_101__35.png	256	1568	0.65	2
tumor_101__49.png	288	672	0.41	2
tumor_101__48.png	288	640	0.65	2
tumor_101__3.png	192	1568	0.65	2
tumor_101__7.png	224	352	0.59	2
tumor_101__34.png	256	1536	0.67	2
tumor_101__33.png	256	1504	0.53	2
tumor_102__35.png	224	2336	1.00	1
tumor_102__28.png	224	672	1.00	1
tumor_102__45.png	256	2240	1.00	1
tumor_102__8.png	160	608	1.00	1
tumor_102__32.png	224	2240	1.00	1
tumor_102__74.png	320	384	0.00	1
tumor_102__484.png	736	576	0.00	1
tumor_102__386.png	640	512	0.00	1
tumor_102__436.png	672	2144	0.00	1
tumor_102__261.png	512	2176	0.00	1
tumor_102__204.png	480	384	0.00	1
tumor_102__71.png	288	2464	0.00	1
tumor_102__306.png	544	2400	0.00	1
tumor_102__527.png	768	2240	0.00	1
tumor_102__78.png	320	576	0.64	2
tumor_102__89.png	320	2208	0.63	2
tumor_102__19.png	192	704	0.62	2
tumor_102__7.png	160	576	0.65	2
tumor_102__80.png	320	640	0.36	2
tumor_102__104.png	352	704	0.46	2
tumor_102__0.png	128	544	0.68	2
tumor_102__126.png	384	672	0.53	2
tumor_102__46.png	256	2272	0.70	2
tumor_102__81.png	320	704	0.36	2
tumor_102__113.png	352	2176	0.35	2
tumor_102__127.png	384	704	0.45	2
tumor_102__91.png	320	2336	0.52	2
tumor_102__125.png	384	640	0.67	2
tumor_102__116.png	352	2304	0.66	2
tumor_102__15.png	192	576	0.55	2
tumor_102__114.png	352	2208	0.39	2
tumor_102__79.png	320	608	0.36	2
tumor_102__106.png	352	768	0.67	2
tumor_102__68.png	288	2368	0.61	2
tumor_102__47.png	256	2336	0.52	2
tumor_102__58.png	288	640	0.67	2
tumor_102__25.png	224	576	0.50	2
tumor_102__66.png	288	2272	0.54	2
tumor_102__82.png	320	736	0.59	2
tumor_102__61.png	288	768	0.60	2
tumor_102__11.png	160	2176	0.61	2
tumor_102__65.png	288	2240	0.67	2
tumor_102__115.png	352	2240	0.50	2
tumor_102__84.png	320	800	0.55	2
tumor_102__76.png	320	512	0.44	2
tumor_102__99.png	352	512	0.38	2
tumor_103__47.png	384	1920	0.00	1
tumor_103__77.png	832	704	0.00	1
tumor_104__142.png	576	864	0.00	1
tumor_104__288.png	832	800	0.00	1
tumor_104__85.png	416	1472	0.00	1
tumor_104__77.png	384	1568	0.00	1
tumor_104__4.png	160	640	0.00	1
tumor_104__28.png	288	1376	0.00	1
tumor_104__82.png	416	1184	0.32	2
tumor_105__7.png	608	416	0.00	1
tumor_105__11.png	960	1120	0.37	2
tumor_106__157.png	480	1248	0.00	1
tumor_106__211.png	1120	800	0.00	1
tumor_106__164.png	512	1152	0.00	1
tumor_106__62.png	256	320	0.36	2
tumor_106__92.png	320	320	0.40	2
tumor_106__61.png	256	288	0.33	2
tumor_106__90.png	320	256	0.39	2
tumor_106__73.png	288	256	0.44	2
tumor_106__74.png	288	288	0.49	2
tumor_106__91.png	320	288	0.43	2
tumor_106__75.png	288	320	0.30	2
tumor_106__60.png	256	256	0.37	2
tumor_107__13.png	288	224	0.00	1
tumor_109__56.png	736	1504	1.00	1
tumor_109__24.png	640	1536	1.00	1
tumor_109__57.png	736	1536	1.00	1
tumor_109__36.png	672	1536	1.00	1
tumor_109__22.png	640	1472	1.00	1
tumor_109__37.png	672	1568	0.68	2
tumor_109__41.png	672	1696	0.61	2
tumor_109__6.png	576	1472	0.30	2
tumor_109__2.png	544	1440	0.38	2
tumor_109__55.png	736	1472	0.70	2
tumor_109__58.png	736	1568	0.39	2
tumor_109__12.png	608	1440	0.66	2
tumor_109__15.png	608	1536	0.61	2
tumor_109__50.png	704	1664	0.54	2
tumor_109__1.png	544	1408	0.46	2
tumor_109__16.png	608	1568	0.43	2
tumor_109__51.png	704	1696	0.58	2
tumor_109__5.png	576	1440	0.36	2
tumor_109__26.png	640	1600	0.56	2
tumor_109__14.png	608	1504	0.64	2
tumor_109__21.png	640	1440	0.56	2
tumor_110__7.png	160	544	1.00	1
tumor_110__98.png	320	896	1.00	1
tumor_110__51.png	256	736	1.00	1
tumor_110__268.png	672	448	1.00	1
tumor_110__128.png	384	448	1.00	1
tumor_110__120.png	352	896	1.00	1
tumor_110__34.png	224	672	1.00	1
tumor_110__107.png	352	480	1.00	1
